ID	x	y
loc1	17.907	4.967
loc2	18.965	5.003
loc3	18.954	5.995
loc4	17.846	5.993
loc5	20.016	6.019
loc6	20.889	6.956
loc7	20.062	6.974
loc8	16.98	6.989
loc9	17.918	6.991
loc10	18.877	6.984
loc11	21.847	7.896
loc12	20.901	7.965
loc13	23.118	7.985
loc14	19.974	7.988
loc15	17.904	8.003
loc16	18.948	8.031
loc17	16.753	8.02
loc18	21.849	8.887
loc19	20.936	8.944
loc20	17.928	8.984
loc21	23.097	9.011
loc22	24.076	8.991
loc23	18.939	9.0
loc24	19.925	8.992
loc25	14.901	9.04
loc26	15.971	9.014
loc27	16.783	9.018
loc28	21.892	9.87
loc29	20.806	9.928
loc30	24.931	9.981
loc31	23.152	10.0
loc32	17.922	9.987
loc33	20.05	9.97
loc34	13.961	10.011
loc35	24.085	9.99
loc36	18.824	9.985
loc37	16.029	10.012
loc38	16.909	10.017
loc39	14.907	10.046
loc40	21.86	10.874
loc41	23.039	10.98
loc42	20.87	10.952
loc43	24.057	10.967
loc44	20.003	10.972
loc45	25.949	10.985
loc46	24.917	10.977
loc47	17.897	10.988
loc48	16.889	11.002
loc49	14.947	11.026
loc50	18.899	11.016
loc51	13.894	11.02
loc52	15.936	11.026
loc53	21.842	11.852
loc54	20.926	11.911
loc55	24.038	11.933
loc56	19.951	11.941
loc57	27.002	11.945
loc58	18.948	11.948
loc59	23.062	11.974
loc60	17.92	11.965
loc61	13.936	11.976
loc62	14.955	11.98
loc63	12.987	11.976
loc64	16.905	11.977
loc65	24.959	11.972
loc66	15.934	11.99
loc67	25.961	11.983
loc68	21.868	12.876
loc69	20.89	12.932
loc70	20.014	12.947
loc71	23.072	12.973
loc72	12.005	12.982
loc73	18.886	12.964
loc74	24.06	12.946
loc75	13.036	12.962
loc76	27.013	12.96
loc77	25.988	12.971
loc78	14.956	12.986
loc79	15.962	12.984
loc80	24.93	12.97
loc81	16.854	13.001
loc82	13.903	13.006
loc83	21.817	13.865
loc84	20.927	13.924
loc85	25.966	13.953
loc86	12.021	13.982
loc87	13.035	13.956
loc88	18.961	13.959
loc89	19.962	13.959
loc90	23.04	13.975
loc91	24.057	13.963
loc92	17.865	13.959
loc93	27.973	13.971
loc94	24.967	13.956
loc95	26.982	13.977
loc96	13.894	13.982
loc97	14.959	13.987
loc98	16.874	14.013
loc99	15.976	14.037
loc100	21.844	14.835
loc101	20.896	14.894
loc102	19.996	14.918
loc103	12.062	14.964
loc104	18.909	14.952
loc105	23.049	14.968
loc106	24.066	14.942
loc107	24.985	14.951
loc108	25.95	14.954
loc109	13.006	14.964
loc110	16.893	14.966
loc111	17.929	14.951
loc112	13.941	14.978
loc113	26.999	14.966
loc114	15.947	14.985
loc115	27.865	14.971
loc116	10.821	15.855
loc117	21.908	15.857
loc118	23.065	15.944
loc119	27.004	15.931
loc120	28.956	15.926
loc121	24.043	15.936
loc122	27.94	15.929
loc123	20.869	15.941
loc124	9.81	15.939
loc125	25.018	15.941
loc126	19.985	15.957
loc127	18.929	15.97
loc128	13.866	15.962
loc129	11.987	15.985
loc130	13.068	15.967
loc131	14.979	15.978
loc132	15.909	15.981
loc133	16.925	16.002
loc134	25.934	16.023
loc135	17.846	16.113
loc136	10.825	16.832
loc137	21.849	16.849
loc138	9.852	16.928
loc139	14.912	16.965
loc140	23.082	16.936
loc141	20.946	16.93
loc142	27.986	16.946
loc143	18.982	16.954
loc144	8.932	16.965
loc145	12.022	16.995
loc146	26.945	16.965
loc147	28.908	16.97
loc148	17.887	16.976
loc149	15.924	16.989
loc150	25.969	16.987
loc151	16.909	16.994
loc152	19.898	16.997
loc153	24.05	17.0
loc154	12.996	17.01
loc155	24.967	17.011
loc156	21.815	17.836
loc157	20.945	17.896
loc158	7.924	17.928
loc159	9.861	17.931
loc160	26.974	17.926
loc161	27.959	17.923
loc162	19.947	17.924
loc163	12.029	17.967
loc164	18.92	17.932
loc165	23.031	17.956
loc166	24.042	17.945
loc167	16.908	17.951
loc168	17.895	17.949
loc169	8.948	17.955
loc170	15.934	17.959
loc171	12.999	17.964
loc172	13.95	17.967
loc173	25.943	17.973
loc174	24.993	17.972
loc175	14.936	17.987
loc176	21.841	18.845
loc177	13.049	18.94
loc178	20.947	18.93
loc179	24.067	18.934
loc180	20.002	18.943
loc181	23.052	18.956
loc182	27.94	18.942
loc183	11.999	18.982
loc184	17.864	18.951
loc185	26.968	18.952
loc186	16.921	18.963
loc187	24.977	18.95
loc188	25.948	18.959
loc189	18.887	18.959
loc190	13.909	18.965
loc191	15.948	18.987
loc192	14.926	18.999
loc193	21.886	19.83
loc194	23.058	19.956
loc195	18.964	19.945
loc196	26.946	19.955
loc197	13.944	19.962
loc198	17.855	19.956
loc199	24.065	19.964
loc200	25.957	19.97
loc201	20.913	20.004
loc202	12.951	20.01
loc203	19.98	20.008
loc204	14.988	20.004
loc205	15.896	20.044
loc206	25.02	20.153
loc207	23.077	20.97
loc208	20.116	20.962
loc209	17.867	20.954
loc210	18.946	20.962
loc211	26.997	20.955
loc212	15.989	20.983
loc213	24.046	20.982
loc214	25.964	20.984
loc215	13.905	21.008
loc216	14.877	21.028
loc217	24.985	21.028
loc218	20.964	21.73
loc219	21.88	21.822
loc220	20.018	21.924
loc221	17.893	21.953
loc222	18.957	21.952
loc223	24.12	21.952
loc224	16.919	21.976
loc225	23.026	21.989
loc226	24.951	21.959
loc227	15.97	21.986
loc228	14.981	22.004
loc229	25.921	21.976
loc230	13.918	22.022
loc231	21.874	22.847
loc232	20.985	22.91
loc233	17.898	22.932
loc234	18.963	22.952
loc235	19.952	22.955
loc236	23.099	22.977
loc237	15.984	22.97
loc238	16.933	22.967
loc239	26.021	22.977
loc240	24.088	22.99
loc241	24.957	23.019
loc242	21.894	23.851
loc243	18.937	23.952
loc244	20.925	23.924
loc245	20.019	23.934
loc246	24.055	23.946
loc247	23.094	23.975
loc248	24.981	23.964
loc249	21.874	24.852
loc250	23.096	24.93
loc251	24.076	25.951
