ID	x	y
loc1	21	9
loc2	18	20
loc3	11	23
loc4	4	20
loc5	22	13
loc6	11	14
loc7	8	23
loc8	11	17
loc9	8	16
loc10	11	12
loc11	11	13
loc12	8	13
loc13	20	8
loc14	12	9
loc15	20	7
loc16	20	5
loc17	22	14
loc18	23	18
loc19	23	15
loc20	23	14
loc21	23	17
loc22	23	16
loc23	8	22
loc24	11	15
loc25	8	20
loc26	8	21
loc27	8	26
loc28	8	27
loc29	8	24
loc30	8	25
loc31	11	18
loc32	11	19
loc33	2	15
loc34	2	14
loc35	2	17
loc36	2	16
loc37	2	13
loc38	2	19
loc39	2	18
loc40	17	12
loc41	17	13
loc42	17	10
loc43	17	11
loc44	17	16
loc45	17	17
loc46	17	14
loc47	17	15
loc48	17	18
loc49	10	24
loc50	10	25
loc51	10	22
loc52	10	23
loc53	10	20
loc54	10	21
loc55	7	17
loc56	7	14
loc57	7	15
loc58	7	12
loc59	7	13
loc60	7	18
loc61	7	19
loc62	14	8
loc63	21	17
loc64	21	16
loc65	21	15
loc66	21	14
loc67	21	13
loc68	21	12
loc69	21	11
loc70	21	10
loc71	21	19
loc72	21	18
loc73	9	25
loc74	9	24
loc75	9	26
loc76	9	21
loc77	9	23
loc78	9	22
loc79	13	23
loc80	13	21
loc81	13	20
loc82	12	21
loc83	12	22
loc84	13	24
loc85	5	22
loc86	8	19
loc87	3	22
loc88	3	21
loc89	3	20
loc90	11	21
loc91	11	22
loc92	18	19
loc93	18	17
loc94	18	15
loc95	17	20
loc96	18	9
loc97	18	8
loc98	18	7
loc99	18	6
loc100	6	12
loc101	6	15
loc102	2	20
loc103	5	19
loc104	11	16
loc105	14	21
loc106	14	9
loc107	14	17
loc108	4	13
loc109	4	12
loc110	4	17
loc111	4	16
loc112	4	15
loc113	4	14
loc114	4	19
loc115	4	18
loc116	24	16
loc117	24	15
loc118	14	14
loc119	16	9
loc120	16	8
loc121	14	16
loc122	8	12
loc123	8	11
loc124	22	12
loc125	12	14
loc126	12	17
loc127	22	16
loc128	12	10
loc129	12	13
loc130	12	12
loc131	22	18
loc132	12	19
loc133	12	18
loc134	9	18
loc135	9	19
loc136	9	14
loc137	9	16
loc138	9	17
loc139	9	10
loc140	9	12
loc141	5	16
loc142	8	18
loc143	9	15
loc144	15	18
loc145	15	19
loc146	15	10
loc147	15	11
loc148	15	12
loc149	15	13
loc150	15	14
loc151	15	15
loc152	15	17
loc153	17	21
loc154	10	13
loc155	10	12
loc156	10	17
loc157	10	16
loc158	10	15
loc159	10	14
loc160	12	11
loc161	10	19
loc162	10	18
loc163	22	17
loc164	22	15
loc165	12	15
loc166	12	20
loc167	16	7
loc168	3	13
loc169	3	16
loc170	3	17
loc171	3	14
loc172	3	15
loc173	14	22
loc174	14	23
loc175	14	20
loc176	3	19
loc177	13	22
loc178	12	16
loc179	12	23
loc180	15	21
loc181	15	20
loc182	15	23
loc183	15	22
loc184	9	20
loc185	13	8
loc186	13	9
loc187	17	19
loc188	16	20
loc189	16	21
loc190	19	8
loc191	4	22
loc192	4	21
loc193	20	18
loc194	20	19
loc195	20	10
loc196	20	11
loc197	20	12
loc198	20	13
loc199	20	14
loc200	20	15
loc201	20	16
loc202	20	17
loc203	5	17
loc204	7	27
loc205	7	26
loc206	11	25
loc207	11	24
loc208	6	19
loc209	6	13
loc210	6	14
loc211	6	17
loc212	6	16
loc213	5	21
loc214	5	20
loc215	5	23
loc216	15	9
loc217	20	6
loc218	18	12
loc219	19	12
loc220	12	24
loc221	19	18
loc222	19	19
loc223	3	18
loc224	19	14
loc225	19	15
loc226	19	16
loc227	19	17
loc228	19	10
loc229	19	11
loc230	11	20
loc231	19	13
loc232	15	16
loc233	16	19
loc234	16	18
loc235	16	11
loc236	16	10
loc237	16	13
loc238	16	12
loc239	16	15
loc240	16	14
loc241	16	17
loc242	16	16
loc243	17	8
loc244	17	9
loc245	17	6
loc246	17	7
loc247	18	13
loc248	20	9
loc249	18	11
loc250	5	18
loc251	18	10
loc252	18	16
loc253	18	14
loc254	6	20
loc255	6	21
loc256	6	22
loc257	6	23
loc258	6	24
loc259	6	25
loc260	6	26
loc261	13	19
loc262	8	17
loc263	14	15
loc264	14	13
loc265	14	12
loc266	14	11
loc267	14	10
loc268	5	12
loc269	5	13
loc270	5	14
loc271	5	15
loc272	14	19
loc273	14	18
loc274	19	20
loc275	7	23
loc276	7	22
loc277	7	21
loc278	7	20
loc279	7	25
loc280	7	24
loc281	10	9
loc282	13	18
loc283	13	16
loc284	13	17
loc285	13	14
loc286	13	15
loc287	13	12
loc288	13	13
loc289	13	10
loc290	13	11
loc291	19	6
loc292	19	7
loc293	19	5
loc294	19	9
