,X,Y
19x5,5207.839,1161.146
20x5,5513.4540000000015,1160.421
18x6,4907.382000000001,1448.196
19x6,5210.719,1448.793
20x6,5517.23,1458.521
17x6,4618.682,1461.568
19x7,5204.707,1740.332
18x7,4917.705,1745.164
17x7,4617.995,1741.646
20x7,5528.808000000001,1744.275
16x7,4320.024,1749.747
20x8,5518.578,2020.256
16x8,4328.444,2023.209
19x8,5208.055,2023.847
15x8,4054.643,2027.952
14x8,3764.189,2031.465
17x8,4623.978,2032.442
18x8,4919.924,2033.343
13x8,3482.686,2037.497
21x9,5785.2469999999985,2304.108
10x9,2573.194,2305.857
20x9,5519.771,2311.686
16x9,4331.169,2312.74
19x9,5206.997,2313.482
13x9,3487.309,2318.249
18x9,4923.293,2314.695
15x9,4057.478,2318.27
17x9,4619.614000000001,2320.2270000000008
12x9,3208.951,2324.174
14x9,3778.014,2324.183
21x10,5785.587,2586.473
20x10,5516.217,2589.425
19x10,5205.748,2591.339
18x10,4914.621,2591.644
9x10,2316.56,2593.271
16x10,4322.394,2596.042
17x10,4619.206,2595.837
12x10,3200.595,2603.269
13x10,3480.982,2599.656
15x10,4062.651,2599.744
14x10,3766.04,2606.931
11x11,2874.713,2878.843
21x11,5779.435,2872.728
8x11,2001.32,2885.39
19x11,5207.196,2881.141
20x11,5514.654,2880.973
12x11,3204.893,2892.931
15x11,4061.543,2886.4590000000007
18x11,4915.667,2887.032
16x11,4333.363,2892.396
17x11,4617.512,2889.635
13x11,3483.055,2892.601
14x11,3761.609,2891.968
21x12,5783.158,3158.577
22x12,6077.246,3166.837
12x12,3199.022,3169.917
4x12,876.243,3162.838
10x12,2578.633,3165.73
11x12,2868.171,3168.9990000000007
20x12,5514.509,3166.031
19x12,5204.439,3168.121
9x12,2320.204,3172.312
16x12,4330.54,3170.848
5x12,1121.401,3172.9
18x12,4918.8290000000015,3173.355
13x12,3481.605,3179.9390000000008
15x12,4060.657,3179.1020000000008
17x12,4615.082,3176.958
14x12,3762.368,3182.21
