,gene
0,GAPDH
1,USP4
2,MAPKAPK2
3,CPEB1
4,LANCL2
5,MCL1
6,TMEM109
7,TMEM189
8,ITPK1
9,UBXN11
10,SCARB1
11,USP28
12,NUDT21
13,LDHB
14,SEC62
15,SRF
16,EEF1G
17,COX6C
18,KIF2A
19,ESRP1
20,RPL39
21,MFF
22,AATF
23,ICMT
24,NENF
25,ZNF585A
26,COL6A3
27,RPS5
28,C4B
29,C12orf57
30,TUBB
31,H3F3A
32,CAB39L
33,KRT7
34,RPL21
35,GPX1
36,TMEM176A
37,ZNF146
38,AP1G1
39,PLK2
40,NKG7
41,ASCC3
42,PDZK1IP1
43,CD63
44,TCEB2
45,RPL34
46,NBR1
47,CDC37
48,SLC35F5
49,SUSD6
50,WIZ
51,YAF2
52,TMEM43
53,APOA1BP
54,CLCN7
55,OAZ1
56,WEE1
57,SUB1
58,ACTN4
59,HIPK1
60,CCT4
61,CCNY
62,H2AFJ
63,LTBP2
64,RPL13
65,PSME4
66,ARPC3
67,BANF1
68,CAST
69,UQCR11
70,MYL9
71,FUS
72,IFI6
73,POLD4
74,GPR135
75,OPA1
76,SNX9
77,FAH
78,SLC39A10
79,TRAPPC13
80,DUSP10
81,HSP90AB1
82,MBD2
83,CCDC115
84,TXNIP
85,ANXA9
86,DPP3
87,MTF2
88,TMBIM6
89,CTSO
90,ADD1
91,TMEM63B
92,IGFBP7
93,H1FX
94,ALDH1B1
95,TXNDC17
96,MMS19
97,CFDP1
98,TAF7
99,PARK7
100,HMOX2
101,FAM104B
102,MTRNR2L8
103,PAF1
104,C16orf72
105,CD276
106,MMP2
107,YPEL5
108,GNE
109,NBEAL2
110,PSMG2
111,GOLPH3
112,PABPC1
113,CCSER2
114,ACTG1
115,ANKRD46
116,KIAA1217
117,ATP5G2
118,LRP11
119,FXYD3
120,POLG
121,ARL6IP5
122,H2AFY
123,FASN
124,RPS29
125,MRPL21
126,GRTP1
127,GFOD2
128,ADSSL1
129,LGALS1
130,REL
131,CPSF2
132,DUSP15
133,MYL6
134,SNRPF
135,DUSP23
136,RPS26
137,CYCS
138,NUDC
139,SUV420H1
140,TBL1XR1
141,PDLIM2
142,APOL2
143,ARPP19
144,AP3S2
145,DDX18
146,ACTB
147,FGGY
148,GATA3
149,GGH
150,RARS2
151,YWHAH
152,HTRA1
153,LSM5
154,MBD3
155,MARCH2
156,ADAM10
157,C9orf91
158,LPGAT1
159,CHCHD5
160,NUP54
161,RPS9
162,RAB30
163,IL18
164,SELO
165,CASC3
166,TASP1
167,EIF4A3
168,CYB5A
169,EHBP1L1
170,SNX4
171,EHD1
172,IRX5
173,TBP
174,RPS21
175,THAP11
176,MARCKSL1
177,TOMM20
178,LARS
179,ABCA9
180,CDC73
181,ACBD6
182,TMEM181
183,DCP1A
184,CLCF1
185,SMDT1
186,AC074033.1
187,RB1
188,RALGDS
189,HEXB
190,NGRN
191,STAB1
192,PSMB1
193,NPAS2
194,ACADVL
195,DDX21
196,NADK
197,S100A11
198,TNC
199,ZNHIT1
200,TEX30
201,ENAH
202,ST6GAL1
203,FRMD3
204,KLRG1
205,SCAMP2
206,SIGMAR1
207,GPX4
208,RPL36
209,PLGRKT
210,PLD3
211,NADK2
212,CCL4L2
213,PDP1
214,INSIG2
215,DDX23
216,CXCL10
217,RPL36AL
218,RPL41
219,VMA21
220,FUCA2
221,PSMD3
222,NDUFB6
223,CLEC3A
224,ILF3
225,HIST2H2AA3
226,SSR2
227,EIF3B
228,TRAPPC3
229,CHST3
230,HSPA8
231,NRBP1
232,FTSJ2
233,SPCS3
234,HSP90B1
235,CXCL14
236,TWF2
