,gene
0,ENSG00000000003
1,ENSG00000000005
2,ENSG00000000419
3,ENSG00000000457
4,ENSG00000000460
5,ENSG00000000938
6,ENSG00000000971
7,ENSG00000001036
8,ENSG00000001084
9,ENSG00000001167
10,ENSG00000001460
11,ENSG00000001461
12,ENSG00000001497
13,ENSG00000001561
14,ENSG00000001617
15,ENSG00000001629
16,ENSG00000001631
17,ENSG00000002016
18,ENSG00000002330
19,ENSG00000002549
20,ENSG00000002586
21,ENSG00000002587
22,ENSG00000002726
23,ENSG00000002745
24,ENSG00000002822
25,ENSG00000002834
26,ENSG00000002919
27,ENSG00000002933
28,ENSG00000003056
29,ENSG00000003096
30,ENSG00000003137
31,ENSG00000003147
32,ENSG00000003249
33,ENSG00000003393
34,ENSG00000003400
35,ENSG00000003402
36,ENSG00000003436
37,ENSG00000003509
38,ENSG00000003756
39,ENSG00000003989
40,ENSG00000004059
41,ENSG00000004139
42,ENSG00000004142
43,ENSG00000004399
44,ENSG00000004455
45,ENSG00000004468
46,ENSG00000004478
47,ENSG00000004487
48,ENSG00000004534
49,ENSG00000004660
50,ENSG00000004700
51,ENSG00000004766
52,ENSG00000004777
53,ENSG00000004779
54,ENSG00000004799
55,ENSG00000004809
56,ENSG00000004838
57,ENSG00000004846
58,ENSG00000004848
59,ENSG00000004864
60,ENSG00000004866
61,ENSG00000004897
62,ENSG00000004939
63,ENSG00000004961
64,ENSG00000004975
65,ENSG00000005001
66,ENSG00000005007
67,ENSG00000005020
68,ENSG00000005022
69,ENSG00000005059
70,ENSG00000005073
71,ENSG00000005075
72,ENSG00000005100
73,ENSG00000005102
74,ENSG00000005108
75,ENSG00000005156
76,ENSG00000005175
77,ENSG00000005187
78,ENSG00000005189
79,ENSG00000005194
80,ENSG00000005206
81,ENSG00000005238
82,ENSG00000005243
83,ENSG00000005249
84,ENSG00000005302
85,ENSG00000005339
86,ENSG00000005379
87,ENSG00000005436
88,ENSG00000005448
89,ENSG00000005469
90,ENSG00000005471
91,ENSG00000005483
92,ENSG00000005486
93,ENSG00000005513
94,ENSG00000005700
95,ENSG00000005801
96,ENSG00000005810
97,ENSG00000005812
98,ENSG00000005844
99,ENSG00000005882
100,ENSG00000005884
101,ENSG00000005889
102,ENSG00000005893
103,ENSG00000005961
104,ENSG00000006007
105,ENSG00000006015
106,ENSG00000006016
107,ENSG00000006025
108,ENSG00000006042
109,ENSG00000006047
110,ENSG00000006062
111,ENSG00000006118
112,ENSG00000006125
113,ENSG00000006194
114,ENSG00000006210
115,ENSG00000006282
116,ENSG00000006283
117,ENSG00000006327
118,ENSG00000006377
119,ENSG00000006432
120,ENSG00000006451
121,ENSG00000006453
122,ENSG00000006459
123,ENSG00000006468
124,ENSG00000006530
125,ENSG00000006534
126,ENSG00000006555
127,ENSG00000006576
128,ENSG00000006606
129,ENSG00000006607
130,ENSG00000006625
131,ENSG00000006634
132,ENSG00000006638
133,ENSG00000006652
134,ENSG00000006695
135,ENSG00000006704
136,ENSG00000006712
137,ENSG00000006715
138,ENSG00000006744
139,ENSG00000006747
140,ENSG00000006756
141,ENSG00000006757
142,ENSG00000006788
143,ENSG00000006831
144,ENSG00000007038
145,ENSG00000007047
146,ENSG00000007062
147,ENSG00000007080
148,ENSG00000007168
149,ENSG00000007171
150,ENSG00000007202
151,ENSG00000007216
152,ENSG00000007237
153,ENSG00000007255
154,ENSG00000007264
155,ENSG00000007312
156,ENSG00000007314
157,ENSG00000007341
158,ENSG00000007372
159,ENSG00000007376
160,ENSG00000007384
161,ENSG00000007392
162,ENSG00000007402
163,ENSG00000007516
164,ENSG00000007520
165,ENSG00000007541
166,ENSG00000007545
167,ENSG00000007866
168,ENSG00000007908
169,ENSG00000007923
170,ENSG00000007933
171,ENSG00000007944
172,ENSG00000007952
173,ENSG00000007968
174,ENSG00000008018
175,ENSG00000008056
176,ENSG00000008083
177,ENSG00000008086
178,ENSG00000008128
179,ENSG00000008130
180,ENSG00000008197
181,ENSG00000008226
182,ENSG00000008256
183,ENSG00000008277
184,ENSG00000008282
185,ENSG00000008283
186,ENSG00000008294
187,ENSG00000008300
188,ENSG00000008323
189,ENSG00000008324
190,ENSG00000008382
191,ENSG00000008394
192,ENSG00000008405
193,ENSG00000008441
194,ENSG00000008513
195,ENSG00000008516
196,ENSG00000008517
197,ENSG00000008710
198,ENSG00000008735
199,ENSG00000008838
200,ENSG00000008853
201,ENSG00000008869
202,ENSG00000008952
203,ENSG00000008988
204,ENSG00000009307
205,ENSG00000009335
206,ENSG00000009413
207,ENSG00000009694
208,ENSG00000009709
209,ENSG00000009724
210,ENSG00000009780
211,ENSG00000009790
212,ENSG00000009830
213,ENSG00000009844
214,ENSG00000009950
215,ENSG00000009954
216,ENSG00000010017
217,ENSG00000010030
218,ENSG00000010072
219,ENSG00000010165
220,ENSG00000010219
221,ENSG00000010244
222,ENSG00000010256
223,ENSG00000010270
224,ENSG00000010278
225,ENSG00000010292
226,ENSG00000010295
227,ENSG00000010310
228,ENSG00000010318
229,ENSG00000010319
230,ENSG00000010322
231,ENSG00000010327
232,ENSG00000010361
233,ENSG00000010404
234,ENSG00000010438
235,ENSG00000010539
236,ENSG00000010610
237,ENSG00000010626
238,ENSG00000010671
239,ENSG00000010704
240,ENSG00000010803
241,ENSG00000010810
242,ENSG00000010818
243,ENSG00000010932
244,ENSG00000011007
245,ENSG00000011009
246,ENSG00000011021
247,ENSG00000011028
248,ENSG00000011105
249,ENSG00000011114
250,ENSG00000011132
251,ENSG00000011143
252,ENSG00000011198
253,ENSG00000011201
254,ENSG00000011243
255,ENSG00000011258
256,ENSG00000011260
257,ENSG00000011275
258,ENSG00000011295
259,ENSG00000011304
260,ENSG00000011332
261,ENSG00000011347
262,ENSG00000011376
263,ENSG00000011405
264,ENSG00000011422
265,ENSG00000011426
266,ENSG00000011451
267,ENSG00000011454
268,ENSG00000011465
269,ENSG00000011485
270,ENSG00000011523
271,ENSG00000011566
272,ENSG00000011590
273,ENSG00000011600
274,ENSG00000011638
275,ENSG00000012048
276,ENSG00000012061
277,ENSG00000012124
278,ENSG00000012171
279,ENSG00000012174
280,ENSG00000012211
281,ENSG00000012223
282,ENSG00000012232
283,ENSG00000012660
284,ENSG00000012779
285,ENSG00000012822
286,ENSG00000012963
287,ENSG00000012983
288,ENSG00000013016
289,ENSG00000013275
290,ENSG00000013288
291,ENSG00000013297
292,ENSG00000013306
293,ENSG00000013364
294,ENSG00000013374
295,ENSG00000013375
296,ENSG00000013392
297,ENSG00000013441
298,ENSG00000013503
299,ENSG00000013523
300,ENSG00000013561
301,ENSG00000013563
302,ENSG00000013573
303,ENSG00000013583
304,ENSG00000013588
305,ENSG00000013619
306,ENSG00000013725
307,ENSG00000013810
308,ENSG00000014123
309,ENSG00000014138
310,ENSG00000014164
311,ENSG00000014216
312,ENSG00000014641
313,ENSG00000014824
314,ENSG00000014914
315,ENSG00000014919
316,ENSG00000015133
317,ENSG00000015153
318,ENSG00000015171
319,ENSG00000015285
320,ENSG00000015413
321,ENSG00000015475
322,ENSG00000015479
323,ENSG00000015520
324,ENSG00000015532
325,ENSG00000015568
326,ENSG00000015676
327,ENSG00000016391
328,ENSG00000016402
329,ENSG00000016864
330,ENSG00000017260
331,ENSG00000017427
332,ENSG00000017483
333,ENSG00000017797
334,ENSG00000018189
335,ENSG00000018236
336,ENSG00000018280
337,ENSG00000018408
338,ENSG00000018510
339,ENSG00000018610
340,ENSG00000018625
341,ENSG00000018699
342,ENSG00000019144
343,ENSG00000019169
344,ENSG00000019485
345,ENSG00000019505
346,ENSG00000019549
347,ENSG00000019582
348,ENSG00000019991
349,ENSG00000019995
350,ENSG00000020129
351,ENSG00000020181
352,ENSG00000020256
353,ENSG00000020426
354,ENSG00000020577
355,ENSG00000020633
356,ENSG00000020922
357,ENSG00000021300
358,ENSG00000021355
359,ENSG00000021574
360,ENSG00000021645
361,ENSG00000021762
362,ENSG00000021776
363,ENSG00000021826
364,ENSG00000022267
365,ENSG00000022277
366,ENSG00000022355
367,ENSG00000022556
368,ENSG00000022567
369,ENSG00000022840
370,ENSG00000022976
371,ENSG00000023041
372,ENSG00000023171
373,ENSG00000023191
374,ENSG00000023228
375,ENSG00000023287
376,ENSG00000023318
377,ENSG00000023330
378,ENSG00000023445
379,ENSG00000023516
380,ENSG00000023572
381,ENSG00000023608
382,ENSG00000023697
383,ENSG00000023734
384,ENSG00000023839
385,ENSG00000023892
386,ENSG00000023902
387,ENSG00000023909
388,ENSG00000024048
389,ENSG00000024422
390,ENSG00000024526
391,ENSG00000024862
392,ENSG00000025039
393,ENSG00000025156
394,ENSG00000025293
395,ENSG00000025423
396,ENSG00000025434
397,ENSG00000025708
398,ENSG00000025770
399,ENSG00000025772
400,ENSG00000025796
401,ENSG00000025800
402,ENSG00000026025
403,ENSG00000026103
404,ENSG00000026297
405,ENSG00000026508
406,ENSG00000026559
407,ENSG00000026652
408,ENSG00000026751
409,ENSG00000026950
410,ENSG00000027001
411,ENSG00000027075
412,ENSG00000027697
413,ENSG00000027847
414,ENSG00000027869
415,ENSG00000028116
416,ENSG00000028137
417,ENSG00000028203
418,ENSG00000028277
419,ENSG00000028310
420,ENSG00000028528
421,ENSG00000028839
422,ENSG00000029153
423,ENSG00000029363
424,ENSG00000029364
425,ENSG00000029534
426,ENSG00000029559
427,ENSG00000029639
428,ENSG00000029725
429,ENSG00000029993
430,ENSG00000030066
431,ENSG00000030110
432,ENSG00000030419
433,ENSG00000030582
434,ENSG00000031003
435,ENSG00000031081
436,ENSG00000031691
437,ENSG00000031698
438,ENSG00000031823
439,ENSG00000032219
440,ENSG00000032389
441,ENSG00000032444
442,ENSG00000032742
443,ENSG00000033011
444,ENSG00000033030
445,ENSG00000033050
446,ENSG00000033100
447,ENSG00000033122
448,ENSG00000033170
449,ENSG00000033178
450,ENSG00000033327
451,ENSG00000033627
452,ENSG00000033800
453,ENSG00000033867
454,ENSG00000034053
455,ENSG00000034152
456,ENSG00000034510
457,ENSG00000034533
458,ENSG00000034677
459,ENSG00000034693
460,ENSG00000034713
461,ENSG00000035115
462,ENSG00000035141
463,ENSG00000035403
464,ENSG00000035499
465,ENSG00000035664
466,ENSG00000035681
467,ENSG00000035687
468,ENSG00000035720
469,ENSG00000035862
470,ENSG00000035928
471,ENSG00000036054
472,ENSG00000036257
473,ENSG00000036448
474,ENSG00000036530
475,ENSG00000036549
476,ENSG00000036672
477,ENSG00000037042
478,ENSG00000037241
479,ENSG00000037280
480,ENSG00000037474
481,ENSG00000037637
482,ENSG00000037749
483,ENSG00000037757
484,ENSG00000037897
485,ENSG00000037965
486,ENSG00000038002
487,ENSG00000038210
488,ENSG00000038219
489,ENSG00000038274
490,ENSG00000038295
491,ENSG00000038382
492,ENSG00000038427
493,ENSG00000038532
494,ENSG00000038945
495,ENSG00000039068
496,ENSG00000039123
497,ENSG00000039139
498,ENSG00000039319
499,ENSG00000039523
500,ENSG00000039560
501,ENSG00000039650
502,ENSG00000040199
503,ENSG00000040275
504,ENSG00000040341
505,ENSG00000040487
506,ENSG00000040531
507,ENSG00000040608
508,ENSG00000040633
509,ENSG00000040731
510,ENSG00000040933
511,ENSG00000041353
512,ENSG00000041357
513,ENSG00000041515
514,ENSG00000041802
515,ENSG00000041880
516,ENSG00000041982
517,ENSG00000041988
518,ENSG00000042088
519,ENSG00000042286
520,ENSG00000042317
521,ENSG00000042429
522,ENSG00000042445
523,ENSG00000042493
524,ENSG00000042753
525,ENSG00000042781
526,ENSG00000042832
527,ENSG00000042980
528,ENSG00000043039
529,ENSG00000043093
530,ENSG00000043143
531,ENSG00000043355
532,ENSG00000043462
533,ENSG00000043514
534,ENSG00000043591
535,ENSG00000044090
536,ENSG00000044115
537,ENSG00000044446
538,ENSG00000044459
539,ENSG00000044524
540,ENSG00000044574
541,ENSG00000046604
542,ENSG00000046647
543,ENSG00000046651
544,ENSG00000046653
545,ENSG00000046889
546,ENSG00000047056
547,ENSG00000047188
548,ENSG00000047230
549,ENSG00000047249
550,ENSG00000047315
551,ENSG00000047346
552,ENSG00000047365
553,ENSG00000047410
554,ENSG00000047457
555,ENSG00000047578
556,ENSG00000047579
557,ENSG00000047597
558,ENSG00000047617
