,gene
0,Nrf1
1,Zbtb5
2,Ccnl1
3,Lrrfip1
4,Bbs1
5,Lix1
6,Whrn
7,Ate1
8,Ubac1
9,Rab34
10,Nap1l1
11,Srgap3
12,Slc1a3
13,Polr3k
14,Inpp5f
15,Ndufaf6
16,Atp5j2
17,Tnpo2
18,2010300C02Rik
19,B3gat3
20,Commd5
21,Ints3
22,Rbm6
23,Rnpepl1
24,Sox2
25,Cbx5
26,Poldip3
27,Mapre1
28,Luc7l3
29,Pi4kb
30,Mink1
31,Resp18
32,Rnf10
33,Eef1a1
34,Mdfic
35,Rhbdf1
36,Zfp605
37,Zbtb14
38,Sh3gl2
39,Fam213a
40,Dbn1
41,Cldn5
42,Fam193b
43,Grik5
44,Pip5k1a
45,Sh3bgrl
46,Cwc25
47,Camkk1
48,Chn2
49,Dhh
50,Map3k11
51,Zmynd11
52,Snx13
53,Ptbp3
54,Secisbp2l
55,Fyco1
56,Cox5b
57,Rnf181
58,Cyfip2
59,Sptssa
60,Pmepa1
61,Pde4dip
62,Rhbdd3
63,Oxct1
64,Huwe1
65,Tcaim
66,Med13
67,Nlk
68,Atm
69,Sptan1
70,Zcchc11
71,Etv3
72,Tspan2
73,Fam160a2
74,Zfyve20
75,Ctr9
76,Cers5
77,Scly
78,Fndc4
79,Kif1b
80,Polr2l
81,Vcpip1
82,Pcp4
83,Gnb2
84,Rapgef3
85,Sema3c
86,Tipin
87,Atp6v0d1
88,Gpr137b
89,2310010J17Rik
90,Slc3a2
91,Rbmx
92,Ube2a
93,Man1b1
94,Ndel1
95,Cdk5
96,Arf4
97,Lrfn4
98,Hist1h2ad
99,Dnajc4
100,Usp33
101,Tmem203
102,Mcfd2
103,Epha10
104,Slc9a3r2
105,Ahi1
106,Ap3b2
107,Tbx15
108,Aacs
109,Trim11
110,Snrnp70
111,Dock1
112,Eif4ebp2
113,Trpv2
114,Higd1a
115,Ngrn
116,Hspa1a
117,Sept8
118,Psme2
119,Rps15a
120,Utrn
121,Lsm3
122,Wbp1l
123,Gm10012
